RefPeriodId,ExchangeRate,ChangeInExchangeRate
20100101,6.828,0.0
20100201,6.827,-0.015
20100301,6.831,0.059
20100401,6.827,-0.059
20100501,6.825,-0.029
20100601,6.832,0.103
20100701,6.782,-0.732
20100801,6.774,-0.118
20100901,6.815,0.605
20101001,6.694,-1.775
20101101,6.694,0.0
20101201,6.668,-0.388
20110101,6.591,-1.155
20110201,6.597,0.091
20110301,6.571,-0.394
20110401,6.549,-0.335
20110501,6.491,-0.886
20110601,6.48,-0.169
20110701,6.465,-0.231
20110801,6.438,-0.418
20110901,6.385,-0.823
20111001,6.379,-0.094
20111101,6.356,-0.361
20111201,6.371,0.236
20120101,6.294,-1.209
20120201,6.312,0.286
20120301,6.3,-0.19
20120401,6.297,-0.048
20120501,6.279,-0.286
20120601,6.372,1.481
20120701,6.355,-0.267
20120801,6.371,0.252
20120901,6.349,-0.345
20121001,6.286,-0.992
20121101,6.242,-0.7
20121201,6.228,-0.224
20130101,6.238,0.161
20130201,6.231,-0.112
20130301,6.227,-0.064
20130401,6.201,-0.418
20130501,6.167,-0.548
20130601,6.135,-0.519
20130701,6.136,0.016
20130801,6.131,-0.081
20130901,6.116,-0.245
20131001,6.122,0.098
20131101,6.1,-0.359
20131201,6.093,-0.115
20140101,6.052,-0.673
20140201,6.06,0.132
20140301,6.145,1.403
20140401,6.208,1.025
20140501,6.26,0.838
20140601,6.248,-0.192
20140701,6.203,-0.72
20140801,6.178,-0.403
20140901,6.142,-0.583
20141001,6.138,-0.065
20141101,6.115,-0.375
20141201,6.152,0.605
20150101,6.202,0.813
20150201,6.25,0.774
20150301,6.265,0.24
20150401,6.195,-1.117
20150501,6.213,0.291
20150601,6.199,-0.225
20150701,6.202,0.048
20150801,6.21,0.129
20150901,6.364,2.48
20151001,6.356,-0.126
20151101,6.318,-0.598
20151201,6.4,1.298
20160101,6.512,1.75
20160201,6.577,0.998
20160301,6.551,-0.395
20160401,6.473,-1.191
20160501,6.474,0.015
20160601,6.576,1.576
20160701,6.654,1.186
20160801,6.643,-0.165
20160901,6.674,0.467
20161001,6.672,-0.03
20161101,6.767,1.424
20161201,6.887,1.773
20170101,6.945,0.842
20170201,6.881,-0.922
20170301,6.881,0.0
20170401,6.89,0.131
20170501,6.896,0.087
20170601,6.806,-1.305
20170701,6.779,-0.397
20170801,6.718,-0.9
20170901,6.562,-2.322
20171001,6.655,1.417
20171101,6.609,-0.691
20171201,6.615,0.091
20180101,6.507,-1.633
20180201,6.299,-3.197
20180301,6.358,0.937
20180401,6.274,-1.321
20180501,6.348,1.179
20180601,6.42,1.134
20180701,6.616,3.053
20180801,6.819,3.068
20180901,6.829,0.147
20181001,6.87,0.6
20181101,6.923,0.771
20181201,6.954,0.448
20190101,6.868,-1.237
20190201,6.746,-1.776
20190301,6.706,-0.593
20190401,6.712,0.089
20190501,6.733,0.313
20190601,6.903,2.525
20190701,6.852,-0.739
20190801,6.898,0.671
20190901,7.155,3.726
20191001,7.148,-0.098
20191101,7.037,-1.553
20191201,7.032,-0.071
20200101,6.966,-0.939
20200201,6.936,-0.431
20200301,6.991,0.793
20200401,7.1,1.559
20200501,7.062,-0.535
20200601,7.128,0.935
20200701,7.071,-0.8
20200801,6.975,-1.358
20200901,6.828,-2.108
20201001,6.791,-0.542
20201101,6.692,-1.458
20201201,6.573,-1.778
20210101,6.531,-0.639
20210201,6.467,-0.98
20210301,6.466,-0.015
20210401,6.565,1.531
20210501,6.474,-1.386
20210601,6.383,-1.406
20210701,6.476,1.457
20210801,6.467,-0.139
20210901,6.463,-0.062
20211001,6.447,-0.248
20211101,6.401,-0.714
20211201,6.369,-0.5
20220101,6.354,-0.236
20220201,6.362,0.126
20220301,6.312,-0.786
20220401,6.363,0.808
20220501,6.608,3.85
20220601,6.698,1.362
20220701,6.701,0.045
20220801,6.77,1.03
20220901,6.902,1.95
20221001,7.112,3.043
20221101,7.269,2.208
20221201,7.053,-2.972
